,date,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu,W.P. Kuala Lumpur,W.P. Labuan,W.P. Putrajaya
0,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2020-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2020-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2020-01-25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2020-01-29,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2020-01-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
35,2020-02-05,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
36,2020-02-06,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,2020-02-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,2020-02-09,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,2020-02-10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
